token_length,over_512,excess_tokens
513,True,1
175,False,0
988,True,476
590,True,78
542,True,30
454,False,0
539,True,27
116,False,0
382,False,0
1807,True,1295
485,False,0
546,True,34
356,False,0
590,True,78
82,False,0
501,False,0
693,True,181
352,False,0
214,False,0
43,False,0
294,False,0
429,False,0
737,True,225
286,False,0
562,True,50
65,False,0
513,True,1
222,False,0
284,False,0
206,False,0
91,False,0
359,False,0
446,False,0
358,False,0
797,True,285
581,True,69
444,False,0
183,False,0
505,False,0
291,False,0
651,True,139
125,False,0
100,False,0
605,True,93
490,False,0
570,True,58
662,True,150
137,False,0
1789,True,1277
113,False,0
34,False,0
482,False,0
156,False,0
537,True,25
484,False,0
177,False,0
343,False,0
484,False,0
24,False,0
839,True,327
110,False,0
764,True,252
384,False,0
367,False,0
257,False,0
523,True,11
626,True,114
510,False,0
1009,True,497
233,False,0
449,False,0
551,True,39
1448,True,936
104,False,0
687,True,175
737,True,225
624,True,112
662,True,150
540,True,28
219,False,0
780,True,268
156,False,0
1441,True,929
116,False,0
421,False,0
342,False,0
999,True,487
419,False,0
597,True,85
1081,True,569
1754,True,1242
408,False,0
510,False,0
156,False,0
444,False,0
359,False,0
912,True,400
499,False,0
509,False,0
128,False,0
392,False,0
977,True,465
1132,True,620
892,True,380
414,False,0
56,False,0
267,False,0
594,True,82
591,True,79
586,True,74
148,False,0
389,False,0
932,True,420
473,False,0
1200,True,688
404,False,0
391,False,0
100,False,0
462,False,0
337,False,0
220,False,0
128,False,0
473,False,0
975,True,463
126,False,0
476,False,0
69,False,0
332,False,0
22,False,0
450,False,0
672,True,160
469,False,0
137,False,0
401,False,0
103,False,0
412,False,0
396,False,0
301,False,0
320,False,0
289,False,0
1210,True,698
625,True,113
79,False,0
480,False,0
517,True,5
3455,True,2943
538,True,26
282,False,0
1033,True,521
544,True,32
369,False,0
656,True,144
379,False,0
837,True,325
162,False,0
1153,True,641
234,False,0
458,False,0
97,False,0
156,False,0
482,False,0
413,False,0
1180,True,668
343,False,0
1020,True,508
704,True,192
512,False,0
133,False,0
26,False,0
421,False,0
563,True,51
518,True,6
486,False,0
337,False,0
415,False,0
1271,True,759
298,False,0
374,False,0
637,True,125
280,False,0
142,False,0
957,True,445
413,False,0
554,True,42
715,True,203
1147,True,635
879,True,367
502,False,0
473,False,0
405,False,0
536,True,24
110,False,0
46,False,0
581,True,69
222,False,0
135,False,0
561,True,49
1181,True,669
730,True,218
857,True,345
61,False,0
236,False,0
550,True,38
564,True,52
372,False,0
83,False,0
1196,True,684
966,True,454
1167,True,655
140,False,0
116,False,0
2830,True,2318
359,False,0
887,True,375
335,False,0
377,False,0
213,False,0
407,False,0
216,False,0
210,False,0
292,False,0
586,True,74
508,False,0
1245,True,733
356,False,0
448,False,0
404,False,0
187,False,0
150,False,0
358,False,0
1073,True,561
401,False,0
534,True,22
86,False,0
771,True,259
114,False,0
714,True,202
314,False,0
494,False,0
1028,True,516
589,True,77
506,False,0
22,False,0
122,False,0
155,False,0
96,False,0
251,False,0
